<código docente>;<titulo da publicacao>;<qualificada?>
777;Publicação 100;X
777;Publicação 101;X
777;Publicação 102;X
778;Publicação 103; 
778;Publicação 104;
778;Publicação 105;X
779;Publicação 106;X
779;Publicação 107;X
779;Publicação 108;
780;Publicação 109;X
780;Publicação 110;
780;Publicação 111;X
781;Publicação 112;X
781;Publicação 113; 
781;Publicação 114;X
782;Publicação 115;X
782;Publicação 116;
782;Publicação 117;X
783;Publicação 118;
783;Publicação 119;X
783;Publicação 120;X
784;Publicação 121; 
784;Publicação 122;X
784;Publicação 123;
785;Publicação 124;X
785;Publicação 125;X
785;Publicação 126;
786;Publicação 127;X
786;Publicação 128;
786;Publicação 129;X
