<código>;<nome>;<código docente>;<carga horária semanal>;<carga horaria semestral>;<código do curso>
EPR50101;Disciplina 101;777;3;45;501
EPR50102;Disciplina 102;778;6;60;501
PPR50201;Disciplina 103;777;9;75;502
PPR50202;Disciplina 104;778;3;45;502
PGAQ50301 ;Disciplina 105;777;6;60;503
PGAQ50302;Disciplina 106;778;9;75;503
GEM50401;Disciplina 107;779;3;45;504
GEM50402;Disciplina 108;780;6;60;504
PGPV50501;Disciplina 109;779;9;75;505
PGPV50502;Disciplina 110;780;3;45;505
PGAT50601;Disciplina 111;779;6;60;506
PGAT50602;Disciplina 112;780;9;75;506
TMI50701;Disciplina 113;781;3;45;507
TMI50702;Disciplina 114;782;6;60;507
DES50801;Disciplina 115;781;9;75;508
DES50802;Disciplina 116;782;3;45;508
PGGM50901;Disciplina 117;781;6;60;509
PGGM50902;Disciplina 118;782;9;75;509
BCN51001;Disciplina 119;783;3;45;510
BCN51002;Disciplina 120;784;6;60;510
CNC51101;Disciplina 121;783;9;75;511
CNC51102;Disciplina 122;784;3;45;511
PGBT51201;Disciplina 123;783;6;60;512
PGBT51202;Disciplina 124;784;9;75;512
MUS51301;Disciplina 125;785;3;45;513
MUS51302;Disciplina 126;786;6;60;513
MEC51401;Disciplina 127;785;9;75;514
MEC51402;Disciplina 128;786;3;45;514
PGPS51501;Disciplina 129;785;6;60;515
PGPS51502;Disciplina 130;786;9;75;515
